q,trait,reverse
אני תמיד האדם הראשון שמציע פתרונות בסיעור מוחות קבוצתי.,Extraversion,FALSE
אני נוטה להרגיש אמפתיה כלפי אנשים שאני לא מכיר,Emotionality,False
אני תמיד משתדל לעבוד בצורה יעילה,Conscientiousness,False
אני מובך לקבל מחמאות,Honesty-Humility,FALSE
אני תמיד משתדל להימנע מהטחת ביקורת ישירה מדי באנשים.,Agreeableness,FALSE
אני נוטה להימנע מלהאשים אחרים במצבים קשים,Agreeableness,False
אני מוצא את עצמי בוכה בקלות כשאני צופה בסיפורי הצלחה מרגשים.,Emotionality,FALSE
קשה לי מאוד לשלוח יד ולבקש עזרה כשאני בצרה.,Emotionality,TRUE
אני תמיד משתדל להשלים משימות בזמן,Conscientiousness,False
אני תמיד משתדל להיות כנה, גם כשהאמת אינה נעימה לשמיעה.,Honesty-Humility,FALSE
אני תמיד מקפיד להחזיר כסף שחייבתי, גם אם מדובר בסכום זניח.,Honesty-Humility,FALSE
אני תמיד מוכן להודות בטעות מקצועית מול הקולגות שלי.,Honesty-Humility,FALSE
אני נהנה לחשוב על רעיונות מופשטים,Openness,False
אני מרגיש לא בנוח כשאני לא עומד בציפיות,Conscientiousness,True
לעולם לא אקח משהו שלא שייך לי, גם אם אף אחד לא ידע,Honesty-Humility,False
אני מוכן לעזור לאנשים גם אם זה דורש מאמץ,Agreeableness,False
אני מרגיש עצב כשאני שומע חדשות רעות,Emotionality,False
אני נהנה להצחיק אנשים סביבי,Extraversion,False
אני מרגיש לא בנוח בסיטואציות שבהן אני צריך להפגין רגשות.,Emotionality,TRUE
אני נוטה להסכים עם דעת הרוב כדי למנוע ויכוחים מיותרים.,Agreeableness,FALSE
אני נוטה להגיב בציניות כשמישהו שואל אותי שאלה טיפשית.,Agreeableness,TRUE
אני נוטה להשתמש בציניות כשאני לא מסכים עם מישהו.,Agreeableness,TRUE
אני תמיד מחפש דרכים לשפר את היצירתיות שלי בפתרון בעיות.,Openness to Experience,FALSE
אני תמיד משתדל לעבוד בצורה יעילה,Conscientiousness,False
אני מוצא את זה קשה להסתיר את הכעס שלי כשמישהו לא מקשיב לי.,Agreeableness,TRUE
אני נוטה לדאוג לגבי מה שיקרה אם אכשל במשימה חשובה.,Emotionality,FALSE
אני נהנה להשתתף בדיונים קבוצתיים סוערים ומעניינים.,Extraversion,FALSE
אני שואף להצליח במה שאני עושה,Conscientiousness,FALSE
אני תמיד מעדיף פגישות פנים אל פנים על פני התכתבות.,Extraversion,FALSE
אני לא מחפש דרכים לעקוף חוקים או תקנות,Honesty-Humility,False
אני מוצא את זה קשה להישאר אדיב כלפי אנשים שמתנהגים בבוטות.,Agreeableness,TRUE
אני מעדיף לעבוד על משימה אחת עד להשלמתה המלאה והמושלמת.,Conscientiousness,FALSE
אני מאמין שכנות מוחלטת היא הבסיס לכל קשר מקצועי.,Honesty-Humility,FALSE
אני מרגיש בנוח להיות במרכז תשומת הלב.,Extraversion,FALSE
אני משתדל להיות אדיב כלפי כולם,Agreeableness,False
אני מרגיש רגש עז כשאני רואה את הים בזמן סערה.,Openness to Experience,FALSE
אני תמיד מקפיד לומר תודה ו בבקשה לכל אדם.,Agreeableness,FALSE
אני תמיד משתדל להיות זה שמחייך ראשון בבוקר לקולגות.,Agreeableness,FALSE
אני חושב שזה בסדר לעגל פינות אם אף אחד לא נפגע מזה.,Honesty-Humility,TRUE
אני מרגיש סיפוק כשאני עוזר למישהו לראות את הצד החיובי שבמצב.,Extraversion,FALSE
אני מרגיש חוסר ביטחון כשאני צריך לבצע משימה פיזית מאתגרת.,Emotionality,FALSE
אני תמיד מנסה למצוא פתרון שיעזור לכולם להרגיש מרוצים.,Agreeableness,FALSE
אני תמיד מחזיר ספרים לספרייה בדיוק בזמן.,Conscientiousness,FALSE
אני מרגיש חמלה רבה כלפי אנשים שחווים קשיים כלכליים.,Emotionality,FALSE
אני נהנה להציג את עצמי בפני קהל,Extraversion,False
אני נוטה להתעלם מפרטים קטנים כדי לראות את התמונה הגדולה.,Conscientiousness,TRUE
אני אוהב ללמוד על תרבויות זרות,Openness,False
אני נהנה לדון בנושאים מדעיים,Openness,False
אני אוהב לקרוא על נושאים חדשים,Openness,False
אני מרגיש משיכה לחוויות חדשות,Openness,False
אני מרגיש עצב כשאני רואה אנשים במצוקה,Emotionality,False
אני חושב שהישגים אישיים חשובים יותר מעזרה לזולת.,Honesty-Humility,TRUE
אני חושב שכללים ונהלים הם המלצה בלבד עבור אנשים חכמים.,Honesty-Humility,TRUE
אני אוהב להיות מעורב בפעילויות חברתיות,Extraversion,False
אני מרגיש מלא ביטחון כשאני צריך לקבל החלטה תחת תנאי אי-ודאות.,Extraversion,FALSE
אני מרגיש צורך להשלים משימות בצורה מושלמת,Conscientiousness,False
אני נוטה להיות מסודר בסביבת העבודה שלי,Conscientiousness,False
אני מרגיש לא בנוח כשאני מקבל יחס מיוחד,Honesty-Humility,False
אני מרגיש עצב כשאני רואה חוסר צדק,Emotionality,False
אני מרגיש רגוע מאוד גם כשאני צריך לדבר מול קהל גדול של זרים.,Extraversion,FALSE
אני מרגיש שאין לי צורך להפגין את העושר שלי מול אחרים.,Honesty-Humility,FALSE
אני נוטה להילחץ כשאני רואה דם או פציעות, אפילו אם הן קלות.,Emotionality,FALSE
אני מרגיש סיפוק כשאני עוזר למישהו להבין נושא מורכב.,Extraversion,FALSE
אני תמיד בודק את ההודעות שלי כמה פעמים לפני שאני שולח אותן.,Conscientiousness,FALSE
אני מוצא עניין רב בלימוד על המבנה המולקולרי של חומרים.,Openness to Experience,FALSE
אני מרגיש דאגה רבה כשאני רואה חדשות על סכסוכים בעולם.,Emotionality,FALSE
אני נהנה ללמוד על ההיסטוריה של המצאת התרופות.,Openness to Experience,FALSE
אני נוטה להרגיש לחוץ כשאני צריך לעמוד בלוח זמנים צפוף מאוד.,Emotionality,FALSE
אני סקרן לגבי רעיונות פילוסופיים,Openness,False
אני מרגיש חוסר אונים כשאני לא מצליח לעזור לאדם קרוב שכואב לו.,Emotionality,FALSE
אני מרגיש רגוע כמעט בכל מצב, גם כשיש סביבי כאוס.,Emotionality,TRUE
אני מרגיש שמח כשאני מוביל פעילויות,Extraversion,False
אני מרגיש צורך חזק להגן על ילדים מפני כל פגיעה.,Emotionality,FALSE
אני תמיד מוודא שכל הנתונים במערכת מעודכנים עד הפרט האחרון.,Conscientiousness,FALSE
אני תמיד מעדיף לשתף פעולה עם אחרים מאשר להתחרות בהם.,Agreeableness,FALSE
אני לא מחפש דרכים לעקוף את האמת,Honesty-Humility,False
אני מרגיש אמפתיה עמוקה כלפי אנשים שעוברים תקופות קשות בחיים.,Emotionality,FALSE
אני מרגיש בנוח להיות זה שמעביר את הבשורות הקשות למשפחה.,Extraversion,FALSE
אני תמיד מחפש דרכים לשפר את היכולות המקצועיות שלי.,Conscientiousness,FALSE
אני נוטה להרגיש פאניקה אם אני לא מוצא את הטלפון שלי מיד.,Emotionality,FALSE
אם הייתה לי ההזדמנות, הייתי רוצה להשתתף בקונצרט מוסיקה קלאסית.,Openness to Experience,FALSE
אני תמיד מנסה למצוא את המשותף ביני לבין אנשים שאני פוגש.,Agreeableness,FALSE
אני אהנה ליצור יצירת אמנות, כמו לכתוב רומן, שיר או ציור.,Openness to Experience,FALSE
אני לא מנסה להשיג דברים על ידי הטעיית אחרים,Honesty-Humility,False
אני חושב שזה חיוני להיחשף לדעות פוליטיות מנוגדות לשלי.,Openness to Experience,FALSE
שיהיה לי הרבה כסף זה לא משהו שחשוב לי באופן מיוחד.,Honesty-Humility,FALSE
אני חושב שזה טיפשי להוציא כסף על מוצרי יוקרה רק בשביל הרושם.,Honesty-Humility,FALSE
אני אוהב מוזיקה רועשת.,Extraversion,FALSE
אני תמיד מנסה להבין את נקודת המבט של הצד השני בוויכוח.,Agreeableness,FALSE
אני נהנה לבקר בתערוכות שמציגות טכנולוגיות עתידניות.,Openness to Experience,FALSE
אני מרגיש בנוח להודות כשאני לא יודע משהו.,Honesty-Humility,FALSE
אני תמיד מקשיב בסבלנות לכל טענה, גם אם היא נשמעת לי לא הגיונית.,Agreeableness,FALSE
אני אוהב מוזיקה רועשת,Extraversion,FALSE
אני מרגיש מלא אנרגיה כשאני נמצא במחלקה עמוסה באנשים.,Extraversion,FALSE
אני אוהב להשתתף בפעילויות קבוצתיות,Extraversion,False
אני נהנה ללמוד על היסטוריה,Openness,False
אני מוצא את זה קל מאוד להצחיק אנשים סביבי.,Extraversion,FALSE
אני נהנה להוביל דיונים בקבוצה,Extraversion,False
אני מרגיש נוח לעבוד עם אנשים בעלי אופי שונה,Agreeableness,False
אני מקפיד על הופעה חיצונית מסודרת ומקצועית בכל יום עבודה.,Conscientiousness,FALSE
אני תמיד בודק שהציוד הרפואי שבידי מונח במקומו המדויק.,Conscientiousness,FALSE
כשאני מבטיח משהו, אני מקיים אותו ללא קשר למאמץ שזה דורש.,Conscientiousness,FALSE
אני נוטה להתווכח על עקרונותיי גם כשזה עלול לפגוע בי חברתית.,Agreeableness,TRUE
אני תמיד משתדל להחזיר טובות לאחרים,Honesty-Humility,False
אני נהנה להוביל יוזמות חברתיות חדשות בשכונה או במקום המגורים.,Extraversion,FALSE
אני מרגיש שמח כשאני משתף סיפורים עם אחרים,Extraversion,False
אני נוטה לדאוג לגבי הבריאות הנפשית של חברי הקרובים.,Emotionality,FALSE
אני חושב שחוקים הם בגדר המלצה כשהם לא הגיוניים בעיניי.,Honesty-Humility,TRUE
אני נהנה ללמד סטודנטים ומתמחים צעירים את מה שאני יודע.,Extraversion,FALSE
אני נוטה להשקיע הרבה מחשבה בארגון הארון שלי.,Conscientiousness,FALSE
אני נהנה לחשוב על הקשר בין פילוסופיה למדעי המוח.,Openness to Experience,FALSE
אני מוכן לקבל דעות שונות משלי,Agreeableness,False
אני חושב שזה בזבוז זמן לתכנן תוכניות לטווח ארוך מאוד.,Conscientiousness,TRUE
אני תמיד מחפש את השיטה המדעית המוכחת ביותר לביצוע מטלה.,Openness to Experience,FALSE
אני משתדל לבדוק את עבודתי לפני הגשה,Conscientiousness,False
אני נהנה להוביל שיחות בקבוצות,Extraversion,False
אני חושב שהצלחה בחיים נמדדת בעיקר בכמות הכסף שיש לאדם.,Honesty-Humility,TRUE
אני משתדל להיות הוגן גם כשאני לא מסכים,Agreeableness,False
אני תמיד מקפיד להחזיר חפצים שלקחתי בדיוק למקום שלהם.,Conscientiousness,FALSE
אני מוכן לקבל משוב מאחרים כדי לשפר את עצמי,Agreeableness,False
אני נוטה להרגיש חרדה אם התוכניות שלי משתנות ברגע האחרון.,Emotionality,FALSE
אם אקבל עודף גדול מדי בטעות, לא תמיד ארגיש צורך לדווח על כך.,Honesty-Humility,TRUE
אני נוטה לדאוג לגבי הבטיחות שלי גם כשאני נמצא בסביבה בטוחה.,Emotionality,FALSE
אני נהנה לקרוא על גילויים מדעיים חדשים בכתבי עת.,Openness to Experience,FALSE
אני מוצא את זה קשה לקבל דעות שונות מאוד משלי בנושאים פוליטיים.,Agreeableness,TRUE
אני חושב שזה בסדר לקבל טיפ כספי ממטופל כדי להקדים לו תור.,Honesty-Humility,TRUE
אני נהנה לייצג את המחלקה שלי בכנסים ואירועים מקצועיים.,Extraversion,FALSE
אני מרגיש שמחובתי להתנצל בפני מטופל אם גרמתי לו להמתין יותר מדי.,Honesty-Humility,FALSE
אני תמיד מעדיף לשמור על פרופיל נמוך גם כשאני זוכה לשבחים.,Honesty-Humility,FALSE
לפעמים אני לא יכול שלא לדאוג לגבי דברים קטנים.,Emotionality,FALSE
אני אוהב לחקור תחומי ידע חדשים,Openness,False
אני מרגיש שבא לי לבכות כשאני רואה אנשים אחרים בוכים.,Emotionality,FALSE
אני נוטה להרגיש חרדה כשאני נמצא בסביבה לא סטרילית.,Emotionality,FALSE
אני מרגיש לא בנוח כשאני מקבל יותר ממה שמגיע לי,Honesty-Humility,False
אני נהנה להיות האדם שמקבל את פני המטופלים החדשים.,Extraversion,FALSE
אני תמיד משתדל להיות הוגן כלפי כולם,Honesty-Humility,False
אני מרגיש עצב כשאני רואה אנשים בודדים,Emotionality,False
אני מרגיש דאגה עמוקה כשאני שומע על אסונות טבע במקומות רחוקים.,Emotionality,FALSE
אני נוטה לדאוג לגבי הבטיחות בדרכים באופן תמידי.,Emotionality,FALSE
אני מרגיש לעיתים קרובות מודאג לגבי דברים קטנים,Emotionality,True
אני מקפיד שהשולחן שלי יהיה מסודר לפני שאני מתחיל לעבוד.,Conscientiousness,FALSE
אני מרגיש שמח כשאני מוקף באנשים,Extraversion,False
אני מרגיש רגש עז כשאני מצליח לעזור לאדם שנמצא במצוקה קשה.,Emotionality,FALSE
אני מרגיש צורך עז לחלוק את ההצלחות שלי עם אנשים שקרובים אליי.,Emotionality,FALSE
הייתי רוצה לטייל בעולם בכדור פורח,Openness to Experience,FALSE
אני מרגיש אנרגטי כשאני משתתף בדיונים,Extraversion,False
אני תמיד משתדל לסיים שיחות ברוח טובה גם אם לא הסכמנו.,Agreeableness,FALSE
אני מרגיש כאב פיזי כמעט כשאני רואה מישהו אחר נפצע.,Emotionality,FALSE
אני נוטה לאבד את העשתונות כשאני נמצא במצב של עומס יתר.,Emotionality,FALSE
אני נהנה להיות זה שמספר את הבדיחות בחבורה.,Extraversion,FALSE
אני תמיד משתדל להיות האדם שיוצר אווירה נעימה במשמרת.,Agreeableness,FALSE
אני נהנה לטייל במקומות חדשים,Openness,False
אני מרגיש נוח להודות בפני המטופל שאין לי תשובה כרגע.,Honesty-Humility,FALSE
אני לעולם לא אשתמש בציוד של בית החולים לצרכיי הפרטיים.,Honesty-Humility,FALSE
אני מרגיש סיפוק כשאני מצליח למנוע ויכוח מיותר בין חברים.,Agreeableness,FALSE
אני נהנה לחשוב על פתרונות יצירתיים לבעיות יומיומיות פשוטות.,Openness to Experience,FALSE
אני מרגיש מתח כשאני צריך להתמודד עם קונפליקטים,Emotionality,True
אני לעולם לא אעתיק במבחן, גם אם אין שום סיכוי שייתפסו אותי.,Honesty-Humility,FALSE
אני מרגיש שמח כשאני מוקף בחברים,Extraversion,False
אני נוטה לסיים את כל הדיווחים שלי עוד לפני שהמשמרת נגמרת.,Conscientiousness,FALSE
אני מרגיש צורך לבדוק שהכל נעשה כראוי,Conscientiousness,False
אני משתדל לעבוד בצורה יעילה ומדויקת,Conscientiousness,False
אני תמיד משתדל לעמוד בהבטחותיי,Honesty-Humility,False
אני נהנה להוביל פרויקטים קבוצתיים,Extraversion,False
אני לעולם לא אשתמש במידע שקיבלתי בשיחה פרטית כדי להשיג יתרון.,Honesty-Humility,FALSE
אני מרגיש צורך לעמוד בסטנדרטים גבוהים,Conscientiousness,False
אני חושב שמגיע לי יותר כבוד מזה המגיע לאדם הממוצע,Honesty-Humility,TRUE
אני לא מנסה להשיג כוח על חשבון אחרים,Honesty-Humility,False
אני נוטה להיפגע עמוק מביקורת של אנשים שקרובים אליי.,Emotionality,FALSE
אני תמיד משתדל להיות כנה לגבי מגבלות הזמן שלי מול המטופלים.,Honesty-Humility,FALSE
אני תמיד משתדל להיות האדם הכי מעורב בשיחות המסדרון.,Extraversion,FALSE
אני מרגיש חרדה במצבים חברתיים חדשים,Emotionality,True
אני נוטה להטיל ספק בכוונות של אנשים שמציעים לי עזרה ללא תמורה.,Honesty-Humility,TRUE
אני לעולם לא אשתמש בחנופה כדי להשיג יתרון על פני קולגות.,Honesty-Humility,FALSE
אני תמיד מדווח על טעות שעשיתי גם אם היא לא גרמה נזק.,Honesty-Humility,FALSE
אני נהנה להשתתף בדיונים על נושאים אתיים ומוסריים.,Openness to Experience,FALSE
אני מרגיש לא בנוח כשאני לא עומד בלוחות זמנים,Conscientiousness,True
אני חושב שלמידה על תרבויות רחוקות היא בזבוז זמן.,Openness to Experience,TRUE
אני מרגיש מלא חיים כשאני נמצא בתנאי עבודה דינמיים ומשתנים.,Extraversion,FALSE
אני תמיד משתדל להגיע בזמן לפגישות,Conscientiousness,False
אני נוטה לדאוג לגבי טעויות שאני עלול לעשות,Emotionality,True
אני נהנה להשתתף בראיונות עבודה או ועדות קבלה.,Extraversion,FALSE
אני מעדיף לעבוד בשקט מאשר בסביבה תחרותית.,Extraversion,TRUE
אני נוטה להימנע משיפוט מהיר של אנשים,Agreeableness,False
אני נוטה להתווכח עם אנשים שמעבירים ביקורת על אורח החיים שלי.,Agreeableness,TRUE
אני לא מרגיש נוח לקבל טובות הנאה מאחרים,Honesty-Humility,False
אני נוטה לדאוג לגבי הבטיחות של האנשים הקרובים אליי.,Emotionality,FALSE
קל לי מאוד להבין מטופלים שמתנהגים בתוקפנות מתוך כאב.,Agreeableness,FALSE
אני תמיד משתדל לעמוד בהתחייבויות שלי,Conscientiousness,False
אני נוטה להימנע מעימותים מיותרים,Agreeableness,False
אני נהנה ללמוד על הקשר שבין פיזיקה למוזיקה.,Openness to Experience,FALSE
אני מרגיש בנוח להביע את שמחתי בקול רם כשאני מצליח במשהו.,Extraversion,FALSE
אני נהנה להציג מקרים רפואיים מול קהל גדול של רופאים.,Extraversion,FALSE
אני מרגיש פחד כשאני חושב על כישלון אפשרי,Emotionality,True
אני מרגיש חמלה רבה כלפי אנשים שאיבדו את ביתם.,Emotionality,FALSE
אני מרגיש בנוח לנהל שיחות הסברה מול קהל רחב של מטופלים.,Extraversion,FALSE
אני נהנה לחלוק את הידע שלי עם אחרים ללא תמורה.,Agreeableness,FALSE
אני מאמין שהדרך המהירה ביותר להצליח היא לנצל חולשות של אחרים.,Honesty-Humility,TRUE
אני נוטה לסלוח לאנשים שפגעו בי ברגע שהם מבקשים סליחה.,Agreeableness,FALSE
לעולם לא אקבל שוחד גם אם הוא מאד גדול.,Honesty-Humility,FALSE
אני מרגיש בטוח בעצמי כשאני משתתף בדיונים,Extraversion,False
אני תמיד מוודא שכל המכשירים סביבי מכובים ומאובטחים לפני שאני עוזב.,Conscientiousness,FALSE
אני מרגיש חמלה רבה כלפי בעלי חיים שסובלים.,Emotionality,FALSE
אני תמיד מקפיד לשלם את המיסים שלי עד השקל האחרון.,Honesty-Humility,FALSE
אני תמיד מחפש את הדרך העדינה ביותר לבשר בשורה לא נעימה.,Agreeableness,FALSE
אני מתכנן קדימה ומארגן את הדברים, כדי להימנע מערבול ברגע האחרון.,Conscientiousness,FALSE
אני מאמין שרוב האנשים הם טובים מיסודם.,Agreeableness,FALSE
אני נוטה לדאוג לגבי דברים שמשפיעים עליי,Emotionality,True
אני נוטה להחמיא לאנשים על העבודה הטובה שהם עושים.,Agreeableness,FALSE
אני תמיד מרגיש בטוח ביכולת שלי להרשים אנשים חדשים.,Extraversion,FALSE
אני נוטה לשמור טינה לאנשים שפגעו בי בצורה לא הוגנת.,Agreeableness,TRUE
אני נהנה לחשוב על רעיונות יצירתיים,Openness,False
אני נוטה להימנע מוויכוחים חסרי תועלת,Agreeableness,False
אני נוטה להרגיש פחד כשאני חושב על הסיכונים,Emotionality,True
אני נוטה להרגיש אמפתיה כלפי אנשים במצוקה,Emotionality,False
אני תמיד מנסה להפיק את המרב מכל סיטואציה חברתית שאני נמצא בה.,Extraversion,FALSE
אני תמיד מקפיד להחזיר ציוד ששאלתי במצב טוב יותר ממה שקיבלתי אותו.,Conscientiousness,FALSE
אני עושה מה שהבוס שלי אומר גם אם אני לא מסכים שזה הדבר הנכון,Agreeableness,FALSE
אני מוכן להתפשר כדי למנוע קונפליקטים,Agreeableness,False
אני תמיד מכין רשימת מטלות לפני שאני מתחיל יום עבודה.,Conscientiousness,FALSE
אני חושב שמגיע לי יותר כבוד מזה המגיע לאדם הממוצע.,Honesty-Humility,TRUE
אני מרגיש חרדה קלה כשאני צריך לבצע פעולה שאינני מיומן בה.,Emotionality,FALSE
אני מרגיש לא בנוח כשאני לא עומד בלוחות זמנים,Conscientiousness,True
אני תמיד בודק פעמיים אם כיביתי את האורות או נעלתי את הדלת.,Conscientiousness,FALSE
אני מרגיש בנוח לדבר על הנושאים הכי רגישים עם זרים מוחלטים.,Extraversion,FALSE
אני לעולם לא אקבל מתנה ממטופל שעשויה להשפיע על שיקול דעתי.,Honesty-Humility,FALSE
אני נוטה להשתעמם משיחות שעוסקות רק בנושאים יומיומיים ופשוטים.,Openness to Experience,FALSE
אני לא מנסה להרשים אנשים על ידי שקרים קטנים,Honesty-Humility,False
אני מוצא את זה קשה לסלוח לאנשים ששיקרו לי פעם אחת.,Agreeableness,TRUE
אני תמיד מוכן לשמוע על רעיונות שנראים לאחרים בלתי אפשריים.,Openness to Experience,FALSE
אני מוצא את זה קשה להסתיר את הכעס שלי כשאני נתקל בחוסר צדק.,Agreeableness,TRUE
אני נהנה לחשוב על הדרכים שבהן העולם ישתנה בעוד 50 שנה.,Openness to Experience,FALSE
אני נוטה לקחת ללב הערות ביקורתיות, גם אם הן בונות.,Emotionality,FALSE
אני תמיד מחפש הזדמנויות להרחיב את המעגל החברתי שלי.,Extraversion,FALSE
אני נוטה להרגיש מתח כשאני צריך לקבל החלטות מהירות,Emotionality,True
אני מרגיש שצניעות היא הבסיס ללמידה אמיתית לאורך כל החיים.,Honesty-Humility,FALSE
אני מוכן להתפשר כדי להגיע לפתרון משותף,Agreeableness,False
אני לא מרגיש צורך להפגין עליונות על אחרים,Honesty-Humility,False
אני נוטה לתכנן את עבודתי בצורה מפורטת,Conscientiousness,False
אני מרגיש בנוח לדבר עם אנשים ממעמד חברתי גבוה משלי.,Extraversion,FALSE
אני נוטה להיות יסודי בעבודה שלי,Conscientiousness,False
אני תמיד מנסה להבין את המניעים של אנשים לפני שאני שופט אותם.,Agreeableness,FALSE
אני חושב שזה מוצדק לשקר אם האמת תפגע במישהו ללא צורך.,Honesty-Humility,TRUE
אני לא מרגיש צורך להפגין עושר או מעמד,Honesty-Humility,False
אני מאמין שכל אדם צריך להרוויח את מעמדו בעבודה קשה ולא בקשרים.,Honesty-Humility,FALSE
אני חושב שזה בזבוז זמן לנסות להבין רגשות של אנשים שהתנהגו אליי רע.,Agreeableness,TRUE
אני תמיד מחפש דרכים להרחיב את האופקים האינטלקטואליים שלי.,Openness to Experience,FALSE
אני תמיד משתדל להישאר אדיב, גם כשאני נמצא תחת לחץ כבד.,Agreeableness,FALSE
אני תמיד פתוח ללמוד שיטות למידה חדשות ויעילות יותר.,Openness to Experience,FALSE
אני מרגיש עצב כשאני רואה מישהו סובל,Emotionality,False
אני נוטה להרגיש מתח במצבים תחרותיים,Emotionality,True
אני סקרן לגבי פסיכולוגיה,Openness,False
אני נוטה לתכנן את עבודתי מראש,Conscientiousness,False
אני תמיד מוודא שכל המטלות שלי הושלמו לפני שאני יוצא לבילוי.,Conscientiousness,FALSE
אני נוטה לדאוג לגבי הבריאות של אנשים שחשובים לי.,Emotionality,FALSE
אני מרגיש מאוד בטוח בעצמי כשאני צריך להציג רעיון בפני קהל.,Extraversion,FALSE
אני אוהב לחקור רעיונות חדשים,Openness,False
אני חושב שצניעות היא תכונה של אנשים חלשים.,Honesty-Humility,TRUE
אני מרגיש בטוח בעצמי כשאני מציג רעיונות,Extraversion,False
לא הייתי משתמש בחנופה כדי לקבל העלאה, גם אם חשבתי שזה יצליח,Honesty-Humility,FALSE
אני נהנה ללמוד על הדרך שבה מדענים הגיעו לתגליות הגדולות שלהם.,Openness to Experience,FALSE
אני נוטה ליזום מפגשים מקצועיים להחלפת ידע עם קולגות.,Extraversion,FALSE
אני מרגיש מאוד בטוח בעצמי כשאני מדבר עם דמויות סמכותיות.,Extraversion,FALSE
אני נוטה לדאוג לגבי החלטות שקיבלתי בעבר, ותוהה אם צדקתי.,Emotionality,FALSE
אני נוטה להאשים את עצמי כשדברים לא מסתדרים כמו שרציתי.,Emotionality,FALSE
אני מרגיש רגש עז כשאני שומע מוזיקה יפה במיוחד.,Openness to Experience,FALSE
אני חושב שזה בזבוז זמן להתעכב על רגשות במקום להתקדם בביצוע המשימה.,Emotionality,TRUE
אני מפחד לגור במקומות מסוכנים,Emotionality,FALSE
אני חושב שזה חשוב להקפיד על כללי הטקס והנימוס בכל מצב.,Conscientiousness,FALSE
אני מרגיש רע אם אני נאלץ להעיר למישהו על תפקודו.,Agreeableness,FALSE
אני מעוניין ללמוד על ההיסטוריה והפוליטיקה של מדינות אחרות.,Openness to Experience,FALSE
אני נהנה לחקור רעיונות חדשניים,Openness,False
אני נהנה לבקר בגלריות לאמנות מודרנית ולנסות להבין את היצירות.,Openness to Experience,FALSE
אני מרגיש בנוח להציג שאלות קשות במהלך הרצאות מקצועיות.,Extraversion,FALSE
קשה לי מאוד להירדם בלילה אם אני יודע שיש לי משימה לא פתורה.,Conscientiousness,FALSE
אני מרגיש בנוח להוביל קבוצה של אנשים שאינני מכיר היטב.,Extraversion,FALSE
אני תמיד משתדל להיות מנומס, גם כלפי אנשים שלא נחמדים אליי.,Agreeableness,FALSE
אני מעדיף ללכת בדרכים מוכרות מאשר לנסות דרך חדשה שאולי תקצר את הזמן.,Openness to Experience,TRUE
אני תמיד משתדל להשלים משימות בזמן,Conscientiousness,False
אני מרגיש בנוח לדבר על ההישגים שלי מבלי להרגיש שחצן.,Extraversion,FALSE
אני מרגיש בטוח בעצמי כשאני מוביל קבוצה,Extraversion,False
אני תמיד בודק שהמטופל הבין את ההנחיות שלי עד הסוף.,Conscientiousness,FALSE
אני נוטה לאבד עניין במשימות שדורשות תשומת לב ממושכת לפרטים.,Conscientiousness,TRUE
אני נוטה להנהיג את השיחה כשאני נמצא עם קבוצת חברים.,Extraversion,FALSE
אני נהנה לחשוב על האפשרות של חיים על כוכבי לכת אחרים.,Openness to Experience,FALSE
אני נהנה ללמוד על פיתוחים טכנולוגיים שעשויים לשנות את העתיד.,Openness to Experience,FALSE
אני סקרן לגבי טכנולוגיות חדשות,Openness,False
אני סקרן לגבי תרבויות עתיקות,Openness,False
אני תמיד מנסה למצוא פשרה שתרצה את כולם בוויכוח.,Agreeableness,FALSE
אני מרגיש רגש עז כשאני רואה נוף טבעי מרהיב.,Openness to Experience,FALSE
אני תמיד אומר את האמת, גם אם זה עלול לפגוע במישהו,Honesty-Humility,False
אני תמיד מוכן להתפשר על הנוחות שלי למען הצלחת הטיפול הקבוצתי.,Agreeableness,FALSE
אני מרגיש לעיתים קרובות מתח רגשי,Emotionality,True
אני נוטה להגיב בשלווה גם כשאנשים צועקים עליי.,Agreeableness,FALSE
אני מעדיף לסיים פרויקט אחד לפני שאני מתחיל פרויקט חדש.,Conscientiousness,FALSE
אני נוטה להסכים עם דעות של אחרים כדי לשמור על שלום,Agreeableness,False
אני לא מנסה לנצל אנשים אחרים כדי להשיג את מטרותיי,Honesty-Humility,False
אני מוכן להתפשר כדי להגיע להסכמה,Agreeableness,False
אני תמיד מנסה לראות את הצד החיובי בכל אדם שאני פוגש.,Agreeableness,FALSE
אני משתדל להיות סבלני גם כשאנשים מעצבנים אותי,Agreeableness,False
אני מרגיש שיש לי השפעה חיובית על האווירה החברתית בחדר.,Extraversion,FALSE
אני אוהב לנסות פעילויות חדשות,Openness,False
אני נוטה לסלוח מהר מאוד לאנשים שמאכזבים אותי.,Agreeableness,FALSE
אני נוטה לבקש סליחה גם כשאני לא בטוח שטעיתי.,Agreeableness,FALSE
אני מרגיש בנוח להתעמת עם דמויות סמכותיות כשזה לטובת המטופל.,Extraversion,FALSE
אני נוטה להרגיש חרדה כשאני צריך לבצע משימה תחת פיקוח צמוד.,Emotionality,FALSE
גם כשאני כועס מאוד, אני לא מרים את הקול על אנשים אחרים.,Agreeableness,FALSE
אני לא מרגיש צורך להתבלט על חשבון אחרים,Honesty-Humility,False
אני נוטה להימנע מלהאשים אחרים בטעויות,Agreeableness,False
אני תמיד מעדיף לחלוק בקרדיט על הצלחה מאשר לקחת אותו לעצמי.,Honesty-Humility,FALSE
